type,repo_name,actor_login,event,issue_url,html_url,title,created_at
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15565","https://github.com/twbs/bootstrap/issues/15565","button link hover style not linked to link hover style",2015-01-15 23:36:21.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15568","https://github.com/twbs/bootstrap/issues/15568","Add flexgrid note to docs",2015-01-15 23:45:18.000000
IssuesEvent,twbs/bootstrap,cvrebert,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15572","https://github.com/twbs/bootstrap/issues/15572",".transition-property mixin with multiple values",2015-01-15 23:49:32.000000
IssuesEvent,twbs/bootstrap,cvrebert,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15332","https://github.com/twbs/bootstrap/issues/15332","Document example of using feedback icons with input groups.",2015-01-15 23:49:50.000000
IssuesEvent,twbs/bootstrap,QuentinFchx,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15561","https://github.com/twbs/bootstrap/issues/15561",".btn-group-xs does not shrink nested badges",2015-01-14 13:56:43.000000
IssuesEvent,twbs/bootstrap,DanielApt,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15521","https://github.com/twbs/bootstrap/issues/15521","v3.3.0 & v3.3.1: Tooltips and popovers with selector throw an error when being destroyed",2015-01-08 16:52:30.000000
IssuesEvent,twbs/bootstrap,DanielApt,"reopened","https://api.github.com/repos/twbs/bootstrap/issues/15521","https://github.com/twbs/bootstrap/issues/15521","v3.3.0 & v3.3.1: Tooltips and popovers with selector throw an error when being destroyed",2015-01-08 16:52:33.000000
IssuesEvent,twbs/bootstrap,hardikidea,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15613","https://github.com/twbs/bootstrap/issues/15613","Multiple Dropdown Example",2015-01-20 09:25:43.000000
IssuesEvent,twbs/bootstrap,cvrebert,"closed","https://api.github.com/repos/twbs/bootstrap/issues/12832","https://github.com/twbs/bootstrap/issues/12832","sticky :hover on mobile causes bad UX for button checkbox/radio groups toggle",2015-01-21 08:02:11.000000
IssuesEvent,twbs/bootstrap,teken,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15505","https://github.com/twbs/bootstrap/issues/15505","Bootstrap Multi Tab Switching Issue",2015-01-06 11:31:10.000000
IssuesEvent,twbs/bootstrap,cvrebert,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15505","https://github.com/twbs/bootstrap/issues/15505","Bootstrap Multi Tab Switching Issue",2015-01-06 11:52:52.000000
IssuesEvent,twbs/bootstrap,danfitz36,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15565","https://github.com/twbs/bootstrap/issues/15565","button link hover style not linked to link hover style",2015-01-14 22:32:32.000000
IssuesEvent,twbs/bootstrap,cvrebert,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15690","https://github.com/twbs/bootstrap/issues/15690","[v2.3.*] Fix infinite focus loop in modal",2015-01-28 16:40:43.000000
IssuesEvent,twbs/bootstrap,cvrebert,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15689","https://github.com/twbs/bootstrap/issues/15689","[feature request] add step component",2015-01-28 16:44:27.000000
IssuesEvent,twbs/bootstrap,xabra,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15554","https://github.com/twbs/bootstrap/issues/15554","Horizontal Description List breaks when <dd></dd> element is empty",2015-01-13 05:55:14.000000
IssuesEvent,twbs/bootstrap,kwladyka,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15541","https://github.com/twbs/bootstrap/issues/15541","Natural language forms",2015-01-11 14:14:39.000000
IssuesEvent,twbs/bootstrap,cvrebert,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15434","https://github.com/twbs/bootstrap/issues/15434","tooltip placement problem",2015-01-05 22:31:14.000000
IssuesEvent,twbs/bootstrap,jfoegen,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15603","https://github.com/twbs/bootstrap/issues/15603","checkbox/radio issues",2015-01-19 16:00:23.000000
IssuesEvent,twbs/bootstrap,mdo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15103","https://github.com/twbs/bootstrap/issues/15103","v3.3.2 ship list",2015-01-19 16:38:03.000000
IssuesEvent,twbs/bootstrap,cvrebert,"reopened","https://api.github.com/repos/twbs/bootstrap/issues/15359","https://github.com/twbs/bootstrap/issues/15359","How to avoid tooltips adding `title` & `data-original-title` attributes to DOM?",2015-01-19 16:59:59.000000
IssuesEvent,twbs/bootstrap,cvrebert,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15612","https://github.com/twbs/bootstrap/issues/15612","v3.3.2 NuGet package?",2015-01-20 01:28:30.000000
